Source,Alternative Names,Reference,Sp Type,System Age Myr,Age range Myr,Sp Type Err,Effective Temperature K,Temp err,Object Mass M_Solar,Accretion Diagnostic,R Band Magnitude,R Band Flux Density (erg/(s*cm^2*Å),Ha EW (Å),Ha Line Flux from R band and EW,PaB EW (Å),BrG EW (Å),Ha Line Flux (erg/(s*cm^2),Hb Line Flux (erg/(s*cm^2),Hgamma Line Flux (erg/(s*cm^2),PaB Line Flux (erg/(s*cm^2),PaG Line Flux (erg/(s*cm^2),BrG Line Flux (erg/(s*cm^2),He I 587.6 Line Flux (erg/(s*cm^2),He I 667.8 Line Flux (erg/(s*cm^2),Ca II K Line Flux (erg/(s*cm^2),Ca II H Line Flux (erg/(s*cm^2),,Line Flux Errors,PaB Line Lum (L_solar),Line Flux erg/s/cm^2,Line Luminosity (W),Log Accretion Luminosity (solar),,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
2MASS J03442980+3200545,IC348 205,Mohanty 2005,M6.0,1,,,3000,,0.10,Ca II,,,9.30E+01,,,,,,,,,,,,,,,,,5.08E+00,,,,,,,,,,5.01E-11,-10.3,,,,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
2MASS J03442980+3200545,IC348 205,Muzerolle 2003,M6,0.33,,,,,0.09,Ha 10% width,,,1.05E+02,,,,,,,,,,,,,,,,,,,2.86E-07,,0.078,,,,1,,1.00E-10,-10,0.09,,-1.045757491,1.14E+27,,1.21,,,,disk classification from Ruiz-Rodrigues 2018,,
2MASS J03435526+3207533,IC348 256,Mohanty 2005,M5.75,1,,,3025,,0.12,Ca II,,,2.30E+01,,,,,,,,,,,,,,,,,4.51E+00,,,,,,,,,,2.51E-11,-10.6,,,,,,,,,upper limit,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
2MASS J03435526+3207533,IC348 256,Mohanty 2005,M5.75,1,,,3025,,0.12,Ca II,,,2.30E+01,,,,,,,,,,,,,,,,,4.51E+00,,,,,,,,,,1.58E-11,-10.8,,,,,,,,,upper limit,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
IC348 336,,Muzerolle 2003,M5.5,2.6,,,,,0.10,Ha 10% width,20.68,9.63E-18,1.21E+02,1.17E-15,,,,,,,,,,,,,,,,,,3.18E-07,,0.040,,,,1,,1.00E-10,-10,0.1,,-1,1.27E+27,,3.12,,,,disk classification from Ruiz-Rodrigues 2018,,
IC348 382,,Mohanty 2005,M5.5,1,,,3050,,0.11,Ca II,,,1.50E+01,,,,,,,,,,,,,,,,,4.82E+00,,,,,,,,,,5.01E-11,-10.3,,,,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
IC348 382,,Mohanty 2005,M5.5,1,,,3050,,0.11,Ca II,,,1.50E+01,,,,,,,,,,,,,,,,,4.82E+00,,,,,,,,,,2.51E-11,-10.6,,,,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
IPTau,,Gullbring 1998,M0,1,,,,,0.52,Excess Balmer,,,,,,,,,,,,,,,,,,,,,,7.00E-03,,,,,,1.44,,8.00E-10,-9.096910013,,,,,,,,,,,,
2MASS J16253673-2415424,ISO-Oph 001,Natta 2006,,1,,,3890.45145,,0.55,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,5.37E-05,,2.06E+29,-1.81E+00,,1.622,,2.81,,,,,-8.66,,,-0.26,,,,,,upper limit,,,
ISO-Oph 002+,? check names,Natta 2006,,1,,,3388.44156,,0.30,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,8.51E-05,,3.27E+29,-1.54E+00,,0.589,,2.23,,,,,-8.22,,,-0.52,,,,,,,,,
ISO-Oph 002a,? check names,Gatti 2006,M0,1,.1-1,2.00,3850,,0.40,EW PaB  & BrG,,,,,1.90E+00,2.10E+00,,,,,,,,,,,,,,,,#REF!,,0.550,,1.67,,,,1.86E-09,-8.73,,,-0.3979400087,#REF!,,,,,,,,
2MASS J16253958-2426349,ISO-Oph 003,Natta 2006,,1,,,3548.13389,,0.36,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.55E-04,,5.95E+29,-1.18E+00,,0.794,,2.37,,,,,-7.92,,,-0.44,,,,,,,,,
2MASS J16255052-2439145,ISO-Oph 005,Natta 2006,,1,,,3890.45145,,0.55,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,1.46E+29,-2.01E+00,,,,,,,,,-8.86,,,-0.26,,,,,,upper limit,,,
2MASS J16255615-2420481,ISO-Oph 006,Natta 2006,,1,,,3890.45145,,0.52,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.35E-03,,5.18E+30,1.00E-01,,0.661,,1.79,,,,,-6.74,,,-0.28,,,,,,,,,
2MASS J16260137-2425203,ISO-Oph 009,Natta 2006,,1,,,2818.38293,,0.09,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.82E-06,,6.99E+27,-3.80E+00,,0.085,,1.23,,,,,-10.24,,,-1.03,,,,,,upper limit,,,
2MASS J16260329-2417464,ISO-Oph 011,Natta 2006,,1,,,3467.3685,,0.32,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,1.03E+29,-2.22E+00,,,,,,,,,-8.92,,,-0.49,,,,,,upper limit,,,
2MASS J16260457-2417514,ISO-Oph 012,Natta 2006,,1,,,2818.38293,,0.10,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.10E-06,,4.21E+27,-4.11E+00,,0.089,,1.26,,,,,-10.55,,,-1.02,,,,,,upper limit,,,
2MASS J16260704-2427241,ISO-Oph 013,Natta 2006,,1,,,3235.93657,,0.24,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,4.57E-05,,1.75E+29,-1.90E+00,,0.417,,2.06,,,,,-8.53,,,-0.62,,,,,,,,,
2MASS J16260763-2427413,ISO-Oph 014,Natta 2006,,1,,,3630.78055,,0.40,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,8.79E+28,-2.31E+00,,,,,,,,,-9.07,,,-0.4,,,,,,upper limit,,,
2MASS J16260931-2434121,ISO-Oph 016,Natta 2006,,1,,,,,1.00,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J16261033-2420548,ISO-Oph 017,Natta 2006,,1,,,4073.80278,,0.65,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,7.76E-05,,2.98E+29,-1.58E+00,,2.138,,2.94,,,,,-8.48,,,-0.19,,,,,,upper limit,,,
2MASS J16261581-2419221,ISO-Oph 018,Natta 2006,,1,,,3630.78055,,0.40,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,9.00E+28,-2.29E+00,,,,,,,,,-9.06,,,-0.4,,,,,,upper limit,,,
2MASS J16261684-2422231,ISO-Oph 019,Natta 2006,,1,,,4365.15832,,0.87,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.35E-04,,5.18E+29,-1.26E+00,,3.467,,3.26,,,,,-8.23,,,-0.06,,,,,,upper limit,,,
2MASS J16261706-2420216,ISO-Oph 020,Natta 2006,,1,,,3801.89396,,0.47,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,7.08E-05,,2.72E+29,-1.65E+00,,1.259,,2.59,,,,,-8.46,,,-0.33,,,,,,,,,
2MASS J16261886-2428196,ISO-Oph 024,Natta 2006,,1,,,3890.45145,,0.52,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,6.31E-04,,2.42E+30,-3.50E-01,,1.514,,2.72,,,,,-7.19,,,-0.28,,,,,,,,,
2MASS J16261898-2424142,ISO-Oph 026,Natta 2006,,1,,,3311.31121,,0.26,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,5.89E-05,,2.26E+29,-1.76E+00,,0.468,,2.08,,,,,-8.41,,,-0.59,,,,,,,,,
2MASS J16262101-2415414,ISO-Oph 028,Natta 2006,,1,,,4168.69383,,0.72,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,2.66E+29,-1.66E+00,,,,,,,,,-8.58,,,-0.14,,,,,,upper limit,,,
2MASS J16262152-2426009,"ISO-Oph 030, GY 5",Natta 2006,,1,,,2754.2287,,0.08,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.12E-06,,4.31E+27,-4.09E+00,,0.060,,1.08,,,,,-10.5,,,-1.12,,,,,,,,,
2MASS J16262189-2444397,ISO-Oph 032,Manara 2015,M6.5,1,,,2935,50,0.07,Various Line Intensity,17.95,,1.35E+02,,,,2.46E-14,2.69E-15,1.41E-15,6.90E-16,2.78E-15,,5.40E-16,2.90E-16,3.60E-16,,,,,,,-4.09E+00,,0.033,,0.70,,0.7,0.03,3.24E-11,-10.49,,0.1,-1.15490196,,,,,,,,,
ISO-Oph 035,,Natta 2006,,1,,,2818.38293,,0.09,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,0.076,,1.16,,,,,,,,-1.06,,,,,,,,,
ISO-Oph 036,,Natta 2006,,1,,,4570.8819,,1.12,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.58E-04,,6.08E+29,-1.17E+00,,5.370,,3.71,,,,,-8.21,,,0.05,,,,,,,,,
ISO-Oph 037,,Gatti 2006,K5,3,.1-1,4.00,4350,,0.70,EW PaB  & BrG,,,,,4.40E+00,8.00E-01,,,,,,,,,,,,,,,,,,0.160,,0.71,,,,2.45E-10,-9.61,,,-0.15490196,,,,,,,,,
ISO-Oph 037,,Manara 2015,K7,1,,,4060,50,1.02,Various Line Intensity,,,4.53E+01,,,,3.43E-11,,,2.45E-13,2.36E-13,,,,,,,,,,,-1.20E+00,,0.415,,1.31,,1.31,0.21,3.24E-09,-8.49,,0.1,0.008600171762,,,,,,,,,
ISO-Oph 037,,Natta 2006,,1,,,2884.0315,,0.13,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,2.63E-05,,1.01E+29,-2.22E+00,,0.151,,1.56,,,,,-8.71,,,-0.88,,,,,,,,,
ISO-Oph 038,,Natta 2006,,1,,,3801.89396,,0.49,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.91E-05,,7.32E+28,-2.42E+00,,1.349,,2.68,,,,,-9.24,,,-0.31,,,,,,upper limit,,,
ISO-Oph 039,,Natta 2006,,1,,,4786.30092,,1.35,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.48E-04,,5.68E+29,-1.20E+00,,7.244,,3.93,,,,,-8.29,,,0.13,,,,,,upper limit,,,
ISO-Oph 040,,Natta 2006,,1,,,4265.79519,,0.85,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.91E-03,,7.32E+30,3.00E-01,,3.388,,3.38,,,,,-6.67,,,-0.07,,,,,,,,,
ISO-Oph 041,,Natta 2006,,1,,,2884.0315,,0.15,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,3.16E-06,,1.21E+28,-3.48E+00,,0.182,,1.71,,,,,-9.98,,,-0.83,,,,,,upper limit,,,
ISO-Oph 043,,Natta 2006,,1,,,3548.13389,,0.36,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,4.07E-05,,1.56E+29,-1.97E+00,,0.813,,2.39,,,,,-8.71,,,-0.44,,,,,,upper limit,,,
ISO-Oph 044,,Natta 2006,,1,,,3311.31121,,0.28,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,7.15E+28,-2.43E+00,,,,,,,,,-9.09,,,-0.56,,,,,,upper limit,,,
ISO-Oph 046,,Natta 2006,,1,,,3311.31121,,0.27,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,4.27E-04,,1.64E+30,-5.80E-01,,0.501,,2.16,,,,,-7.24,,,-0.57,,,,,,,,,
ISO-Oph 047,,Natta 2006,,1,,,3162.27766,,0.21,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,7.49E+28,-1.34E+00,,,,,,,,,-7.93,,,-0.68,,,,,,upper limit,,,
ISO-Oph 051,,Natta 2006,,1,,,3019.95172,,0.18,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,5.37E-06,,2.06E+28,-3.16E+00,,0.245,,1.81,,,,,-9.71,,,-0.75,,,,,,upper limit,,,
ISO-Oph 052,,Natta 2006,,1,,,2884.0315,,0.13,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,4.79E-05,,1.84E+29,-1.88E+00,,0.138,,1.49,,,,,-8.36,,,-0.9,,,,,,,,,
ISO-Oph 053,,Natta 2006,,1,,,2884.0315,,0.13,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,2.57E-06,,9.87E+27,-3.61E+00,,0.145,,1.53,,,,,-10.09,,,-0.89,,,,,,upper limit,,,
ISO-Oph 056,,Natta 2006,,1,,,3235.93657,,0.23,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.05E-05,,4.02E+28,-2.77E+00,,0.398,,2.01,,,,,-9.39,,,-0.63,,,,,,upper limit,,,
ISO-Oph 059,,Natta 2006,,1,,,3162.27766,,0.21,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,3.34E+29,-1.54E+00,,,,,,,,,-8.13,,,-0.68,,,,,,upper limit,,,
ISO-Oph 062,,Natta 2006,,1,,,4265.79519,,0.85,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,2.09E-04,,8.02E+29,-1.01E+00,,3.388,,3.38,,,,,-7.98,,,-0.07,,,,,,,,,
ISO-Oph 063,,Natta 2006,,1,,,2884.0315,,0.13,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,3.16E-06,,1.21E+28,-3.47E+00,,0.158,,1.60,,,,,-9.96,,,-0.87,,,,,,upper limit,,,
ISO-Oph 064,,Natta 2006,,1,,,3630.78055,,0.42,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,1.33E+29,-2.07E+00,,,,,,,,,-8.84,,,-0.38,,,,,,upper limit,,,
ISO-Oph 066,,Natta 2006,,1,,,3090.29543,,0.20,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,5.18E+28,-2.62E+00,,,,,,,,,-9.2,,,-0.69,,,,,,upper limit,,,
ISO-Oph 067,,Natta 2006,,1,,,3715.35229,,0.47,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,5.89E-04,,2.26E+30,-4.00E-01,,1.230,,2.68,,,,,-7.2,,,-0.33,,,,,,,,,
ISO-Oph 068+,,Natta 2006,,1,,,4073.80278,,0.68,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,6.46E-05,,2.48E+29,-1.70E+00,,2.344,,3.08,,,,,-8.61,,,-0.17,,,,,,,,,
ISO-Oph 069,,Natta 2006,,1,,,2884.0315,,0.13,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,1.30E+28,-3.44E+00,,,,,,,,,-9.92,,,-0.89,,,,,,upper limit,,,
ISO-Oph 072,,Manara 2015,M3.5,1,,,3340,50,0.30,Various Line Intensity,19.33,,1.43E+02,,,,2.34E-12,4.56E-13,,3.95E-13,3.65E-13,,,,,,,,,,,-1.47E+00,,0.106,,0.98,,0.97,0.04,4.37E-09,-8.36,,0.1,-0.5228787453,,,,,,,,,
ISO-Oph 072+,,Natta 2006,,1,,,2884.0315,,0.13,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,3.24E-04,,1.24E+30,-7.40E-01,,0.155,,1.58,,,,,-7.23,,,-0.87,,,,,,,,,
ISO-Oph 073,,Natta 2006,,1,,,4265.79519,,0.85,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,2.26E+29,-1.75E+00,,,,,,,,,-8.72,,,-0.07,,,,,,upper limit,,,
ISO-Oph 074,,Natta 2006,,1,,,,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO-Oph 075,,Natta 2006,,1,,,2951.20923,,0.16,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,3.34E+29,-4.00E-01,,,,,,,,,-6.92,,,-0.8,,,,,,upper limit,,,
ISO-Oph 076,,Natta 2006,,1,,,3162.27766,,0.21,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,3.34E+29,-3.20E-01,,,,,,,,,-6.92,,,-0.67,,,,,,upper limit,,,
ISO-Oph 078,,Natta 2006,,1,,,3715.35229,,0.43,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,2.04E-05,,7.84E+28,-2.37E+00,,1.047,,2.48,,,,,-9.16,,,-0.37,,,,,,upper limit,,,
ISO-Oph 083,,Gatti 2006,K9,3,.1-1,0.50,3900,,0.40,EW PaB  & BrG,,,,,2.10E+00,,,,,,,,,,,,,,,,,,,,,,,,,4.57E-09,-8.34,,,-0.3979400087,,,,,,,,,
ISO-Oph 083,,Natta 2006,K7,1,,,3630.78055,,0.38,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.95E-04,,7.49E+29,-1.04E+00,,0.871,,2.37,,,,,-7.79,,,-0.42,,,,,,,Added spectral type (Wilking 2005),,
ISO-Oph 084,,Natta 2006,,1,,,2818.38293,,0.10,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.98,,,,,,,,,
ISO-Oph 085,,Natta 2006,,1,,,3162.27766,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO-Oph 086,,Natta 2006,,1,,,2951.20923,,0.15,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,8.71E-06,,3.34E+28,-2.88E+00,,0.191,,1.67,,,,,-9.39,,,-0.82,,,,,,upper limit,,,
ISO-Oph 087,,Manara 2015,M4.5,1,,,3200,50,0.22,Various Line Intensity,,,,,,,,,,,,,,,,,,,,,,-2.21E+00,,0.109,,1.08,,1.08,0.05,1.20E-09,-8.92,,0.1,-0.6575773192,,,,,,upper limit,,,
ISO-Oph 087,,Natta 2006,,1,,,2818.38293,,0.09,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.20E-05,,4.62E+28,-2.69E+00,,0.081,,1.20,,,,,-9.13,,,-1.04,,,,,,,,,
ISO-Oph 088a,,Natta 2006,,1,,,4168.69383,,0.72,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.20E-03,,4.62E+30,3.00E-02,,2.512,,3.05,,,,,-6.9,,,-0.14,,companion,,,,,K2:e+M0.5e spectral types according to simbad (cohen 1979),,
ISO-Oph 088b,,Natta 2006,,1,,,4168.69383,,0.71,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,7.76E-04,,2.98E+30,-2.30E-01,,2.455,,3.01,,,,,-7.15,,,-0.15,,companion,,,,,,,
ISO-Oph 089,,Natta 2006,,1,,,2884.0315,,0.11,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,3.55E-06,,1.36E+28,-3.42E+00,,0.117,,1.38,,,,,-9.88,,,-0.94,,,,,,upper limit,,,
ISO-Oph 091,,Natta 2006,,1,,,4265.79519,,0.81,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,
ISO-Oph 092,,Natta 2006,A0-F3,1,,,4466.83592,,1.02,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.62E-03,,6.23E+30,2.10E-01,,4.571,,3.58,,,,,-6.8,,,0.01,,,,,,,Added SIMBAD spectral type (Connelley 2010),,
ISO-Oph 093,,Natta 2006,,1,,,3388.44156,,0.30,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,3.34E+29,-7.30E-01,,0.575,,2.21,,,,,-7.41,,,-0.53,,,,,,upper limit,,,
ISO-Oph 094,ISO-Oph 094,Manara 2015,M1.5,1,,,3600,235,0.40,Various Line Intensity,,,,,,,,,,2.00E-15,,,,,,,,,4.57E-06,,,-3.71E+00,,0.009,,0.24,,0.25,0.06,4.79E-12,-11.32,,0.1,-0.3979400087,,,,,,,,,
ISO-Oph 095,,Natta 2006,,1,,,3467.3685,,0.33,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,2.14E-05,,8.21E+28,-2.35E+00,,0.708,,2.34,,,,,-9.06,,,-0.48,,,,,,upper limit,,,
ISO-Oph 098,,Natta 2006,,1,,,3467.3685,,0.32,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,2.40E-05,,9.21E+28,-2.29E+00,,0.676,,2.28,,,,,-9,,,-0.49,,,,,,upper limit,,,
ISO-Oph 102,ISO-Oph 102,Manara 2015,M5,1,,,3125,50,0.15,Various Line Intensity,17.57,,4.76E+01,,,,8.80E-14,6.00E-15,8.00E-15,,4.00E-15,,6.00E-15,3.00E-15,7.00E-15,,,,,,,-3.27E+00,,0.046,,0.73,,0.74,0.02,1.05E-10,-9.98,,0.1,-0.8239087409,,,,,,,,,
ISO-Oph 102,ISO-Oph 102,Natta 2006,,1,,,2754.2287,,0.08,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,7.59E-06,,2.91E+28,-2.96E+00,,0.060,,1.08,,,,,-9.37,,,-1.12,,,,,,,,,
ISO-Oph 103,,Natta 2006,,1,,,4570.8819,,1.10,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,5.129,,3.62,,,,,,,,0.04,,,,,,,,,
ISO-Oph 105,,Gatti 2006,K9,3,.1-1,1.00,3900,,0.35,EW PaB  & BrG,,,,,1.30E+00,,,,,,,,,,,,,,,,,,,1.500,,2.69,,,,9.33E-09,-8.03,,,-0.4559319556,,,,,,,,,
ISO-Oph 105,,Natta 2006,,1,,,3981.07171,,0.62,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.51E-04,,5.81E+29,-1.19E+00,,1.950,,2.94,,,,,-8.07,,,-0.21,,,,,,,,,
ISO-Oph 106,,Natta 2006,M2.5,1,,,3162.27766,,0.22,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.95E-05,,7.49E+28,-2.40E+00,,0.363,,2.01,,,,,-9.01,,,-0.65,,,,,,upper limit,Added SIMBAD spectral type (Wilking 2005),,
ISO-Oph 107,,Natta 2006,,1,,,3311.31121,,0.28,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,0.501,,2.16,,,,,,,,-0.56,,,,,,,,,
ISO-Oph 108,,Natta 2006,,1,,,5754.39937,,3.02,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,3.34E+29,1.46E+00,,,,,,,,,-5.84,,,0.48,,,,,,,,,
ISO-Oph 110,,Natta 2006,G1,1,,,4365.15832,,0.91,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,5.01E-05,,1.92E+29,-1.85E+00,,3.802,,3.42,,,,,-8.84,,,-0.04,,,,,,upper limit,Added SIMBAD spectral type (Suarez 2006),,
ISO-Oph 112,,Natta 2006,,1,,,4365.15832,,0.91,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,3.715,,3.38,,,,,,,,-0.04,,,,,,,,,
ISO-Oph 113,,Natta 2006,,1,,,,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO-Oph 114,,Natta 2006,,1,,,6165.95002,,4.37,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,
ISO-Oph 115,2MASS J16271213-2434491,Gatti 2006,M0,1,.1-1,2.00,3850,,0.60,EW PaB  & BrG,,,,,1.10E+00,,,,,,,,,,,,,,,,,,,0.070,,0.60,,,,1.55E-11,-10.81,,,-0.2218487496,,,,,,,,,
ISO-Oph 115,ISO-Oph 115,Manara 2015,M2,1,,,3560,110,0.51,Various Line Intensity,,,,,,,,,,3.00E-14,,,,,,,,,,,,-2.58E+00,,0.145,,1.00,,1,0.14,2.04E-10,-9.69,,0.1,-0.2924298239,,,,,,,,,
ISO-Oph 115,ISO-Oph 115,Natta 2006,,1,,,2818.38293,,0.08,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1.15E-05,PaB Luminosity,4.41E+28,-2.71E+00,,0.069,,1.11,,,,,-9.14,,,-1.08,,,,,,,,bad mass,
ISO-Oph 116,,Natta 2006,,1,,,3801.89396,,0.50,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,6.61E-05,PaB Luminosity,2.54E+29,-1.68E+00,,1.413,,2.75,,,,,-8.51,,,-0.3,,,,,,upper limit,,,
ISO-Oph 117,ISO-Oph 117,Gatti 2006,K8,1,.1-1,,3950,,0.60,EW PaB  & BrG,,,,,6.50E+00,3.30E+00,,,,,,,,,,,,,,,,,,0.350,,1.27,,,,2.34E-09,-8.63,,,-0.2218487496,,,,,,,,,
ISO-Oph 117,ISO-Oph 117,Manara 2015,M3.5,1,,,3340,50,0.33,Various Line Intensity,,,4.47E+01,,,,7.59E-13,,,9.00E-15,9.00E-15,,,,,,,,,,,-2.87E+00,,0.221,,1.41,,1.41,0.04,2.29E-10,-9.64,,0.1,-0.4814860601,,,,,,,,,
ISO-Oph 117,ISO-Oph 117,Natta 2006,,1,,,3162.27766,,0.21,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,4.37E-05,PaB Luminosity,1.68E+29,-1.92E+00,,0.339,,1.94,,,,,-8.52,,,-0.67,,,,,,,,,
ISO-Oph 118,,Natta 2006,,1,,,3548.13389,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,0.776,,2.34,,,,,,,,,,,,,,,,,
ISO-Oph 120,,Natta 2006,,1,,,3090.29543,,0.19,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,3.72E-05,PaB Luminosity,1.43E+29,-2.02E+00,,0.269,,1.81,,,,,-8.59,,,-0.73,,,,,,upper limit,,,
ISO-Oph 121a,,Natta 2006,,1,,,3388.44156,,0.30,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,1.74E-05,PaB Luminosity,6.67E+28,-2.47E+00,,0.562,,2.18,,,,,-9.15,,,-0.53,,companion,,,,upper limit,,,
ISO-Oph 121b,,Natta 2006,,1,,,3981.07171,,0.63,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,4.68E-05,PaB Luminosity,1.80E+29,-1.89E+00,,2.042,,3.01,,,,,-8.78,,,-0.2,,companion,,,,upper limit,,,
ISO-Oph 123,ISO-Oph 123,Manara 2015,K7,1,,,4060,,0.62,Various Line Intensity,17.67,,6.07E+01,,,,8.16E-13,1.20E-13,4.90E-14,9.00E-14,7.70E-14,2.10E-14,5.40E-14,2.00E-14,1.56E-13,,,,,,,-2.12E+00,,0.078,,0.57,,0.56,,2.75E-10,-9.56,,0.1,-0.2076083105,,,,,,,,,
ISO-Oph 123,ISO-Oph 123,Natta 2006,M3.5,1,,,2818.38293,,0.08,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,9.55E-05,PaB Luminosity,3.67E+29,-1.46E+00,,0.071,,1.12,,,,,-7.89,,,-1.08,,,,,,,Added SIMBAD spectral type (Wilking 2005),bad mass,
ISO-Oph 124,,Natta 2006,,1,,,3715.35229,,,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,,,,,,1.072,,2.51,,,,,,,,,,,,,,,,,
ISO-Oph 128,,Natta 2006,,1,,,3715.35229,,0.46,PaB BrG luminosity,,,,,,,,,,,,,,,,,,upper limit,2.34E-05,PaB Luminosity,9.00E+28,-2.30E+00,,1.202,,2.65,,,,,-9.1,,,-0.34,,,,,,upper limit,,,
