Sixth Catalog of Orbits of Visual Binary Stars: Orbits																																	
RA(2000).	DEC(2000)	WDS.......	DD............	ADS..	HD....	HIP...	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee	E.EEEEEE	e.eeeeee	OOO.OOOO	eee.eeee	EQNX	LAST	G	N	REF.....	PNGFILE...........
181616.75	362518.1	18163+3625	HU 1291	11225			9.3		10		215.89	y		0.332	a		147.4		92		1988.75	y		0.683		278		2000	2008	4		Hrt2014b	wds18163+3625i.png
181703.81	-433541.3	18171-4336	HDS2583		167384	89599	8.88		9.95		153.9	y	308.47	0.153	a	0.082	129.9	44	58.5	15.5	2016.88	y	2.38	0.724	0.025	24.2	81	2000	2014	4		Tok2015c	wds18171-4336o.png
181749.51	435032	18178+4351	"A   578Aa,Ab"	11247		89655	9.55		10.64		143.769	y		0.2859	a		121.1		27		2032.26	y		0.6032		262.7			1997	4	n	Ole2001	wds18178+4351a.png
181910.67	242645.8	18192+2427	105 Her		168532	89773	5.29				485.45	d		1.3	m	0.1	115.8	11.6	95.3	10.3	39084.1	d		0.36		250.1		2000		9	n	Ren2013	wds18192+2427f.png
181940.18	101619.2	18197+1016	HU  197	11260	168499	89806	8.73		9.77		135.4	y		0.487	a		125.7		238.02		1930.8	y		0.057		317.5		2000	2009	3	n	Hrt2010a	wds18197+1016a.png
181941.35	-454155.8	18197-4542	CHR 148		167954	89808	6.85				120.0074	d		3.95	m	0.7	85.81	16.32	188.34	15.09	30003.2812	d		0.4282		134.41			1991	9	n	HIP1997d	wds18197-4542r.png
182003.93	-93544.6	18201-0936	GJ 4052		168443	89844	6.92				1748.2	d	1	2.4	m	0.6	35.7	12.9	139.1	34.1	53769.8	d	0	0.212	0.001	64.7	0.5			9	n	SaJ2011	wds18201-0936o.png
182045.44	712015.8	18208+7120	STT 353AB	11311	170000	89908	4.46		5.9		307.8	y		0.965	a		95.6		70.3		2116.6	y		0.752		275		2000	1998	3	n	Ana2005	wds18208+7120a.png
182102.34	724401.3	18211+7244	"LAB   5Aa,Ab"		170153	89937	3.57		5.7		280.528	d	0.02228	0.1244	a	0.0011	74.42	0.58	230.3	0.51	46004.68	m	0.949	0.428	0.012	119.3	1.1		2009	1	n	CIA2010	wds18211+7244a.png
182224.41	454437.8	18224+4545	A   700	11305			10.36		10.45		234	y		0.55	a		81		127.3		2006	y		0.41		41				5	n	Hei1998	wds18224+4545a.png
182254.84	145811	18229+1458	HU  581	11300		90075	8.8		9.4		54.11	y	6.05	0.234	a	0.046	83.2	59.1	296.7	16.1	1992.13	y	0.64	0.797	0.173	45	16.1		1990	3	n	AST1991	wds18229+1458a.png
182313.62	-612938.1	18232-6130	GLE   2A		168339	90098	4.38				2214	d		30.7	m	4.1	56	7	54.6	8.4	18076.2	d		0.26		187.2			1992	9	n	Jnc2005	wds18232-6130r.png
182333.28	-261017.6	18236-2610	HO  566	11296	168991	90128	7.97		9.55		93.91	y		0.386	a		106.4		159.8		1970.51	y		0.785		236.9		2000	1991	4	n	Msn2001c	wds18236-2610a.png
182339.55	-85604.2	18237-0856	zet Sct		169156	90135	4.67				2373.7	d		21.6	m	1.9	89	16.5	226	14	18278.3	d		0.1		242.1			1992	9		Jnc2005	wds18237-0856r.png
182354.65	584802.1	18239+5848	STF2323AB	11336	170073	90156	5.06		8.07		3962.5	y	209.26	6.621	a	0.325	107.7	0.12	179.9	0.1	5671.4	y	12.08	0.553	0.005	128	2.18	2000	2000	5	n	Nov2006e	wds18239+5848a.png
182457.21	-13445.6	18250-0135	AC   11	11324	169493	90253	6.71		7.21		248	y		0.628	a		93.6		175.5		1868	y		0.38		0		2000		3	n	Hei1995	wds18250-0135a.png
182458.46	272341.3	18250+2724	STF2315AB	11334	169718	90256	6.57		7.77		2094	y		2.062	a		107.6		127.7		1982	y		0.6877		352.4		2000	2003	4	n	WSI2004b	wds18250+2724a.png
182518.2	484542.5	18253+4846	HU   66AB	11344	170109	90284	7.9		8.4		300	y		0.392	a		123.2		59.7		2022	y		0.546		269.6		2000	1995	4	n	USN2002	wds18253+4846a.png
182518.2	484542.5	18253+4846	HU   66BC	11344	170109	90284	8.4		8.25		561.2	y	28.74	1.103	a	0.151	108.9	1.6	14.4	2	2090.38	y	26.82	0.637	0.092	92.7	2.4	2000	2002	5		Nov2008b	wds18253+4846b.png
182603.38	4649.7	18261+0047	BU 1203	11339	169725	90347	7.11		8.73		495.73	y		0.5151	a		59.29		17.64		2315.02	y		0.4634		317.13		2000	1991	4	n	Pop1996b	wds18261+0047a.png
182610.2	84643.3	18262+0847	LDS1012A		169822	90355	7.83				302	d	7	9.7	m	2	139	13	168	62	48531	d	50	0.35	0.19	86	72		1991	9	n	Gln2007	wds18262+0847s.png
182758.77	61139	18280+0612	CHR  71		170200	90497	6.5		6.6		19.42	y		0.073	a		136		137.7		1980.24	y		0.228		61.8		2000	1997	3	n	Msn2001a	wds18280+0612a.png
182806.17	-264525.8	18281-2645	HDS2615		169938	90510	6.4		9.31		150.28	y	211.19	0.897	a	0.366	96.4	4.2	166.6	3.2	1990.48	y	6.64	0.609	0.004	328.7	76.5	2000	2014	4		Tok2015c	wds18281-2645o.png
182954.05	263926.7	18299+2639	BD+26 3279		170737	90659	8.13				1284	d		9.1	m	1.1	142.1	3	353.1	6	42925.5	d		0.5		56			1992	9	n	Jnc2005	wds18299+2639s.png
183014.29	-54326.9	18302-0543	HR 6940		170547	90692	6.28				503.4	d		4	m	0.5	111.5	6.4	234	5.4	42049.5	d		0.24		58		2000		9	n	Ren2013	wds18032-0543f.png
183031.02	-284742.9	18305-2848	HDS2624		170415	90715	8.47		8.71		42.93	y	10.94	0.0979	a	0.0211	144.5	33.2	42.3	22.1	2007.53	y	1.05	0.531	0.104	14	24.7	2000	2014	3		Tok2015c	wds18305-2848o.png
183201.73	64648.4	18320+0647	STT 354	11432	170987	90851	7.84		8.91		426	y		0.801	a		63.6		149.7		1783.9	y		0.504		252		2000	2009	4		Zir2013a	wds18320+0647f.png
183220.66	-143839.2	18323-1439	CHR  73		170902	90884	6.6		8.3		2.774	y	0.002	0.0365	a	0.0053	135.6	23.2	213.9	10.6	2012.6	y	0.189	0.602	0.166	2	22.7	2000	2014	3	n	Tok2015c	wds18323-1439o.png
183345.62	174355.9	18338+1744	HU  322AB	11454	171365	90996	7.74		8.91		42.4	y		0.145	a		99.1		90.3		1966.93	y		0.615		197.4		2000	2009	2		FMR2012b	wds18338+1744k.png
183355.6	514311.7	18339+5144	BY Dra		234677	91009	8.07	v			143.402712	h	0.00011	4.4472	m	0.0009	154.41	0.29	152.3	0.1	53999.2144	m	0.0021	0.30014	0.00062	230.33	0.17		2007	8	n	Hel2012	wds18339+5144k.png
183356.69	522112.6	18339+5221	A  1377AB	11468	171779	91013	6.2		6.4		205.891	y	6.746	0.2524	a	0.0072	48	1.4	57.5	1.3	21156	m	295	0.4161	0.0083	262.4	2.9	2000	2008	3	n	Mut2010e	wds18339+5221c.png
183356.69	522112.6	18339+5221	A  1377B	11468	171779	91013	6.4				2324	d	250	0.16	m	0.048	66	21	157	33	53375	m	21	0		0		2000	2008	9	n	Mut2010e	wds18339+5221r.png
183530.4	233619.9	18355+2336	STT 359	11479	171745	91139	6.35		6.62		219.3	y	8.8	0.425	a	0.014	119.9	2	10	1.2	1929.081	y	0.54	0.8393	0.0066	197.7	2.1	2000	2006	3	n	Sca2009a	wds18355+2336b.png
183553.22	165832.5	18359+1659	STT 358AB	11483	171746	91159	6.94		7.08		380	y		1.835	a		119		30.8		1816	y		0.57		74		2000		4	n	Hei1995	wds18359+1659a.png
183557.08	114342.1	18360+1144	STT 357	11484	171728	91167	8.08		8.87		411.1	y		0.511	a		124.8		93.8		1968.324	y		0.317		321.9		2000	2009	3	n	Sca2011a	wds18360+1144k.png
183613.25	652918.7	18362+6529	GC 25491		172569	91196	6.06				504.3893	d	8.415	9.44	m	0.73	96.38	3.5	15.57	4.48	48075.293	d	56.4367	0.0498	0.1489	166.69	41.11		1991	9	n	HIP1997d	wds18362+6529r.png
183616.58	214307.9	18363+2143	COU 206		342628		9.6		9.9		202	y	40	0.168	a	0.015	119.2	3	137.3	0.5	2002	y	0.2	0.773	0.04	143.4		2000	2007	5	n	Doc2010h	wds18363+2143b.png
183723.92	774112.4	18374+7741	STT 363	11584	173831	91298	7.52		8.1		641.9	y	506	0.95	a	0.244	78.3	1.7	159.7	1.5	1987.038	y	0.72	0.89	0.057	55.9	4.8	2000	2006	4	n	Sca2009a	wds18374+7741c.png
183821.13	85002.6	18384+0850	HU  198	11524	172171	91389	8.5	v	8.6		877.14	y	24.53	0.822	a	0.09	103.7	1.2	130.1	0.3	2020.98	y	23.27	0.446	0.026	14.1	2.6	2000	2004	4	n	Nov2007d	wds18384+0850b.png
183823.8	-31137.4	18384-0312	A    88AB	11520	172088	91394	7.22		7.51		12.135	y	0.006	0.1461	a	0.0008	123.9	5	173.4	0.9	2007.18	y	0.04	0.2567	0.0029	79.7	1.5	2000		1	n	Hrt2013d	wds18384-0312b.png
183823.87	670733.9	18384+6708	STF2384AB	11568	173084	91395	8.31		8.95		133.5	y		0.615	a		86.5		129.2		1999.5	y		0.68		343		2000		3	n	Hei1996c	wds18384+6708a.png
183836.74	163227.7	18386+1632	HO   87AB	11530	172246	91413	8.34		8.98		118.57	y		0.31	a		34.2		21.8		1972.73	y		0.62		269		2000	1997	2	n	Hrt2000c	wds18386+1632a.png
184059.63	244930.3	18410+2450	A  2988	11574	172743	91609	8.08		9.08		57.172	y	1.168	0.102	a	0.019	154.7	19	329.6	9.7	1941.464	y	1.52	0.688	0.101	306.8	11.5	2000	1995	3	n	FMR2010f	wds18410+2450b.png
184116.36	301740.9	18413+3018	STF2367AB	11579	172865	91636	7.7		8.03		92.2	y	0.41	0.239	a	0.0034	121	1.6	244	1.1	1980.82	y	0.015	0.91	0.002	348	1.7			2	n	Pbx2000b	wds18413+3018a.png
184208.09	344446.7	18421+3445	"B  2546Aa,Ab"	11593	173087	91707	6.5		7.5		111.5	y		0.133	a		36.4		49.8		2030.1	y		0.383		58		2000	1996	4	n	USN2002	wds18421+3445a.png
184236.12	-70425.1	18426-0704	GC 25586		172831	91751	6.14				485.3	d		6.41	m	0.53	59.5	4.9	295.8	7	42928.5	d		0.21		78			1992	9	n	Jnc2005	wds18426-0704s.png
184248.16	593734.1	18428+5938	STF2398AB	11632	173739	91768	9.11		9.96		408	y		13.88	a		66		136.9		1775	y		0.53		234.6		2000	1987	4	n	Hei1987b	wds18428+5938a.png
184325.45	-554600.8	18434-5546	B   398AB		172447	91837	8.07		9.17		74.37	y		0.329	a		107.5		163.1		2007.91	y		0.344		252.4		2000	2015	4	n	Doc2015e	wds18434-5546o.png
184343.55	314054.1	18437+3141	A   253	11623		91868	9.71		10.29		98.57	y		0.47	a		57.5		297.5		1942.28	y		0.78		12			1983	4	n	Baz1987d	wds18437+3141a.png
184351.22	-64904.8	18439-0649	YSC 133		173093	91880	6.7		7.6		7.32	y	0.14	78	m	7	108	2	120	5	2009.7	y	0.4	0.71	0.09	65	5	2000	2014	3		Hor2015b	wds18439-0649p.png
184359.3	32038.2	18440+0321	A  2388	11619	173196	91893	8.59		9.56		330	y		0.453	a		70.3		254.7		1942.4	y		0.85		96		2000	2012	5		FMR2014c	wds18440+0321f.png
184420.34	394012.4	18443+3940	STF2382AB	11635	173582	91919	5.15		6.1		1725	y		4.17	a		118.6		198		190	y		0.243		198		2000	2003	4	n	WSI2004b	wds18443+3940a.png
184420.34	394012.4	18443+3940	STF2382AB	11635	173582	91919	5.15		6.1		1804.41	y	11.56	4.742	a	0.27	121.2	0.18	162.1	0.23	2091.43	y	10.25	0.691	0.007	255.5	0.52	2000	2003	4	n	Nov2006e	wds18443+3940b.png
184422.78	393645.8	18443+3940	STF2383CD	11635	173607	91926	5.25		5.38		724.307	y		2.92	a		126.14		26.23		2223.934	y		0.353		73.78		2000	1983	4	n	Doc1984b	wds18443+3940d.png
184528.36	53000.4	18455+0530	"FIN 332Aa,Ab"	11640	173495	92027	6.5		6.6		27.03	y	0.67	0.094	a	0.019	106	20	136.2	4.2	1994.2	y	0.98	0.79	0.34	10	16	2000	2009	3	n	Msn2010b	wds18455+0530b.png
184528.36	53000.4	18455+0530	"FIN 332Ba,Bb"	11640	173495	92027	7.19		7.95		38.6	y	1.2	0.105	a	0.015	117.2	9.5	111.8	5.7	1967.9	y	1.9	0.867	0.034	311.2	8.3	2000	2009	3	n	Msn2010b	wds18455+0530g.png
184613.38	641144.4	18462+6412	HU  937	11692		92100	8.85		9.9		225.53	y		0.997	a		80.1		166.8		1678.6	y		0.8		304.4		2000	2003	5	n	USN2006b	wds18462+6412a.png
184616.27	-272046.9	18463-2721	B   405	11643	173427	92104	8.66		9.3		87.95	y		0.343	a		135.3		336.5		1967.62	y		0.559		14		2000	1991	4	n	Msn1999c	wds18463-2721a.png
184619.73	-275457.6	18464-2755	RST2073		173428		10.1		10.1		63.5	y		0.436	a		104.3		81.6		1987.8	y		0.89		263.5		2000	1985	4		USN2002	wds18464-2755a.png
184628.58	-5741.9	18465-0058	"MCA  53Aa,Ab"	11667	173654	92117	5.88		6.8		42.48	y	2.2	0.102	a	0.008	131.1	11.3	163.7	21.8	2012.42	y	1.12	0.665	0.057	355.5	39	2000	2014	3	n	Tok2015c	wds18465-0058o.png
184634.62	382104	18466+3821	HU 1191	11680	173950	92122	8.67		9.42		14.64	y	0.2	0.191	a	0.001	149.3	0.5	84	0.5	1996.64	y	0.04	0.462	0.004	303.9	1	2000	1998	1	n	Doc2009g	wds18466+3821k.png
184703.42	552243.3	18471+5523	SIG   5				12.55		12.81		44.2	y	18.7	0.237	a	0.036	79	3	125	3	2020	y	17	0.1	0.3	68	30	2000	2009	4	n	Kon2010	wds18471+5523k.png
184710.48	-44452.2	18472-0445	bet Sct		173764	92175	4.23				834	d		2.8	m	0.2	105.9	4.2	288.1	2.8	22480.9	d		0.35		33.9		2000		9	n	Ren2013	wds18472-0445f.png
184820.97	-685535	18483-6856	JAO   8				23.6		20.9		15.17	y	3.25	0.2082	a	0.0255	90.32	0.37	248.08	2.25	2004.58	y	0.02	0.84	0.03	280.74	4.85		2011	9	n	Jao2014b	wds18483-6856a.png
184845.41	-183604.2	18488-1836	KUI  88		173928	92301	6.87		8.14		909.7	y		0.598	a		124		137.8		1865	y		0.341		232		2000	2003	4		Hrt2013c	wds18488-1836a.png
185002	151840.3	18500+1519	YSC  12		174457	92418	7.6		11.3		840.8	d		2.6	m	0.7	138.6	19.8	134.4	11.2	52020	d		0.23		139		2000		9	n	Ren2013	wds18500+1519f.png
185004.79	332145.6	18501+3322	"CIA   3Aa1,2"	11745	174638	92420	3.6		4		12.9414	d		0.976	m	0.083	92.1	1.24	253.22	1.97	54283.043	d		0		0		2000	2007	3	n	CIA2008b	wds18501+3322a.png
185004.79	332145.6	18501+3322	"CIA   3Aa1,2"	11745	174638	92420	3.6		4		12.9414	d		0.993	m	0.122	91.96	1.65	251.87	1.83	54283.043	d		0		0		2000	2007	3	n	CIA2008b	wds18501+3322b.png
185004.79	332145.6	18501+3322	"CIA   3Aa1,2"	11745	174638	92420	3.6		4		12.9414	d		0.865	m	0.048	92.25	0.82	254.39	0.83	54283.043	d		0		0		2000	2007	3	n	CIA2008b	wds18501+3322c.png
185112.01	592317.8	18512+5923	omi Dra	11779	175306	92512	4.64				138.42	d		1.7	m	0.1	90.9	6.8	228.5	6.5	19258.16	d		0.11		274.3		2000		9	n	Ren2013	wds18512+5923f.png
185134.8	-605344.5	18516-6054	RST5126		173895	92547	7.92		8.78		54.16	y	3.17	0.13	a	0.005	21.7	13.8	195	34.5	2011.97	y	0.36	0.492	0.02	12.8	36.1	2000	2014	3		Tok2015c	wds18516-6054o.png
185304.53	740517.2	18531+7405	GC 26011		176523	92677	7.41				290.0022	d	5.8248	4.43	m	0.77	38.21	15.5	116.95	19.88	48234.4453	d	15.8155	0		0			1991	9	n	HIP1997d	wds18531+7405r.png
185305.87	-501049.8	18531-5011	"MUG  10Aa,Ab"		174429	92680	6.38		11.42	k	1766.6	y		3.02	a		109.6		43.1		2001.7	y		0.996		154.9			2012	4	n	Gns2014b	wds18531-5011i.png
185305.87	-501049.8	18531-5011	"MUG  10Aa,Ab"		174429	92680	6.38		11.42	k	1256	y		2.4	a		104		47.6		2001.3	y		0.991		160.9			2012	4	n	Gns2014b	wds18531-5011j.png
185305.87	-501049.8	18531-5011	"MUG  10Aa,Ab"		174429	92680	6.38		11.42	k	386.9	y		1.1	a		100.6		51.1		2000.7	y		0.965		169.1			2012	4	n	Gns2014b	wds18531-5011k.png
185324.53	255305.3	18534+2553	A  2989	11802	337117		8.9		9.9		175	y		0.74	a		78.7		80.9		1968.3	y		0.978		281.3		2000	1995	5		USN2002	wds18534+2553a.png
185341.82	-53238.1	18537-0533	A    93	11791	175039	92726	9.16		10.15		258	y		0.63	a		41		178.7		1906	y		0.53		165				5	n	Hei1998	wds18537-0533a.png
185407.63	150023	18541+1500	SAO 104236		175292	92757	7.26				963.9922	d	122.4924	7.06	m	0.83	110.74	10.21	132.79	15.07	48529.9922	d	42.5919	0		0			1991	9	n	HIP1997d	wds18541+1500r.png
185444.88	223842.3	18547+2239	"MKT   9Aa,Ab"	11820	175492	92818	4.59				245.52	d	0.08	10.1	m	0.1	40.2	0.6	70.1	1.2	47784.1	d	0.8	0.102	0.005	186.7	2	2000	1992	1	n	MkT1995	wds18547+2239a.png
185459.91	305245.5	18550+3053	A   258	11837	175612		8.86		9.88		1353	y		1.52	a		97		247		2007	y		0.67		32		2000	2007	5		Hrt2013c	wds18550+3053a.png
185527.44	63655.8	18555+0637	HR 7135		175515	92872	5.58				2994	d		26.6	m	3.4	31.9	3.6	12.6	7.7	44276.5	d		0.24		35			1992	9		Jnc2005	wds18555+0637r.png
185548.63	32659.3	18558+0327	A  2192	11842	175543	92909	7.73		8		132.18	y		0.276	a		129		74		2012.77	y		0.277		84.3			1988	3	n	Doc1988c	wds18558+0327a.png
185701.47	325405.8	18570+3254	BU  648AB	11871	176051	93017	5.34		7.96		22430	d	15	1.2756	a	0.0023	114.159	0.078	48.846	0.093	41384	m	23	0.2667	0.0022	281.71	0.26	2000	2008	2	n	Mut2010e	wds18570+3254a.png
185701.47	325405.8	18570+3254	BU  648B	11871	176051	93017	7.96				1016	d	40	0.241	m	0.041	115.8	8.2	69	11	53583	m	39	0		0		2000	2008	9	n	Mut2010e	wds18570+3254r.png
185728.47	581330	18575+5814	STF2438	11897	176560	93068	7.01		7.44		231.25	y		0.476	a		149		219.8		1882.73	y		0.9		43.9		2000	1999	3	n	Hrt2001a	wds18575+5814a.png
185814.75	172139.4	18582+1722	"CHR  82Aa,Ab"	11884	176155	93124	5.44				1434	d	1	3.36	m	0.4	33	5	61.3	9	2003.29	y	0.04	0.09	0.01	327	4			5	n	AST2007	wds18582+1722a.png
185823.14	475012.9	18584+4750	BD+47 2730		176526	93137	7.7				864	d	74	11.6	m	2.3	83	6	30	6	48843	d	198	0.54	0.19	99	23		1991	9	n	Gln2007	wds18584+4750s.png
185923.8	-125025.7	18594-1250	KUI  89		176162	93225	5.98		6.64		82.76	y		0.224	a		29.5		33		1993.25	y		0.506		338.3		2000	2009	2	n	Hrt2014b	wds18594-1250i.png
185937.39	150406.5	18596+1504	eps Aql		176411	93244	4.03				1270.6	d		12.8	m	0.44	87.5	6.6	58.7	3.9	41718.5	d		0.27		82			1992	9	n	Jnc2005	wds18596+1504s.png
190111.43	22858.3	19012+0229	GC 26129		176650	93383	7.07				1350.0577	d	285.919	11.58	m	2.66	43.8	18.15	120.67	17.49	47773.9688	d	200.7037	0		0			1991	9	n	HIP1997d	wds19012+0229r.png
190153.16	191011.7	19019+1910	STF2437	11956	176972	93448	8.41		8.83		804.6	y		0.91	a		131		114.9		2132.947	y		0.478		212.1		2000	2005	4		Sca2008c	wds19019+1910a.png
190206.53	521542.3	19021+5216	HU  757BC	11979	177483	93466	10.3		10.4		115.9	y		0.234	a		115		84.6		1991.06	y		0.284		217.4		2000	1998	4	n	Sca2001c	wds19021+5216a.png
190236.72	-295248.4	19026-2953	HDO 150AB	11950	176687	93506	3.27		3.48		21	y	0.01	0.489	a	0.001	111.1	0.1	74	0.1	2005.99	y	0.03	0.211	0.001	7.2	0.6		2011	1	n	DRs2012	wds19026-2953k.png
190239.41	430702.9	19027+4307	YSC  13		177412	93511	8.3		9.2		11.937	y		0.094	a		44.4		41.4		2014.324	y		0.761		267.3		2000	2012	4	n	Doc2013j	wds19027+4307a.png
190246.15	-4241.9	19027-0043	STF2434BC	11971	176983	93519	9.68		9.38		402.7	y		1.195	a		145.7		102.6		2007.6	y		0.562		200.3		2000	1995	5	n	Alz1998a	wds19027-0043a.png
190252.64	-541229.5	19029-5413	I  1390		176353	93524	9.64		9.2		47.36	y	0.8	0.198	a	0.012	56	4.2	241.2	7.8	2009.65	y	0.6	0.682	0.052	51	7.5	2000	2014	3		Tok2015c	wds19029-5413o.png
190329.68	-684519.9	19035-6845	FIN 357		175986	93574	6.58		6.96		14.159	y	0.1	0.154	a	0.003	155.9	2	116	2	2018.474	y	0.05	0.355	0.01	205.8	4	2000	2008	3	n	Doc2013d	wds19035-6845b.png
190351.17	264138.1	19039+2642	A  2992	11998	337446	93615	10.15		9.58		99	y	4	0.256	a	0.022	114.5	4.5	125.9	6	1951.17	y	2	0.835	0.001	255	1.5	2000	1997	4	n	Doc2009g	wds19039+2642k.png
190358.43	-380402	19040-3804	I  1391		176891	93625	9.91		9.71		47.38	y	0.22	0.178	a	0.003	35.8	1.3	271.3	5.2	2006.14	y	0.23	0.641	0.019	56.4	5.7	2000	2014	4	n	Tok2015c	wds19040-3804o.png
190420.28	-213153.7	19043-2132	H N 126	11989	177166	93661	7.87		8.06		500	y		1.61	a		126.5		64.7		1902	y		0.545		112				4	n	Hei1998	wds19043-2132a.png
190530.86	335221.5	19055+3352	HU  940	12033		93754	9.18		9.78		111.6	y	8	0.316	a	0.016	129.2	5	31.4	1.5	1939.8	y	1	0.784	0.05	18.5	6	2000	1996	3	n	Doc2009g	wds19055+3352k.png
190609.37	302618.8	19062+3026	STF2454AB	12040	178091	93798	8.34		9.72		559.46	y		1.421	a		65.2		145.1		1700.68	y		0.55		292.9		2000	2011	4	n	Msn2014b	wds19062+3026i.png
190625.14	-370348.5	19064-3704	HJ 5084		177474	93825	4.53		6.42		121.76	y		1.896	a		149.6		50.3		2000.64	y		0.32		349		2000	1985	2	n	Hei1986b	wds19064-3704a.png
190656.22	413719.6	19069+4137	COU2197		178474		9.1		9.1		41.6	y		0.188	a		160		110		1979.51	y		0.25		276				5	n	Cou1999b	wds19069+4137a.png
190656.44	-274011.3	19069-2740	tau Sgr		177716	93864	3.32				69.2841	d	0.4803	8.88	m	1.28	62.53	20.4	128.1	10.13	48394.1094	d	5.0121	0		0			1991	9	n	HIP1997d	wds19069-2740r.png
190658.6	110416.7	19070+1104	HEI 568		178125	93867	5.44		6.39		205.16	y		0.399	a		134.3		94.5		2014.6	y		0.23		201.4		2000	2008	4		Zir2010	wds19070+1104a.png
190713.2	205237.3	19072+2053	LDS1017			93873	10.95		10.99		360	c		117.9	a		153		206		8254	y		0.64		231			2007	5		Kiy2012	wds19072+2053b.png
190718.13	360600.6	19073+3606	STA   3		178475	93903	5.28		6.4		216.93	y		0.172	a		145.5		171.4		1997.28	y		0.637		201.2		2000	2008	4	n	Hrt2014b	wds19073+3606i.png
190718.39	243133	19073+2432	A   262	12057	178355	93905	9.27		9.72		108.2	y		0.143	a		50.4		136.2		1959.1	y		0.83		122		2000	2007	4		Zir2012b	wds19073+2432f.png
190743.2	323244.1	19074+3230	"KUI  90Ca,Cb"				10.8		11.4		2110	d	2.5	0.2881	a	0.0005	77.3	0.2	85.1	0.1	50432.7	m	1.3	0.274	0.002	330.9	0.3		2000	4	n	Sgr2000	wds19074+3230a.png
190816.19	270539.3	19083+2706	HO   98AB	12079	178617	93994	8.28		8.3		628	y	204	0.433	a	0.088	123	2.2	83.1	7	2022.21	y	10.37	0.497	0.013	54.2	20.7	2000	2007	4		Lin2012a	wds19083+2706k.png
190816.49	252229.8	19083+2522	SAO 86853		178593	93995	7.48				896.8818	d	41.0142	16.26	m	1.88	59.91	4.28	146.95	6.26	48635.7344	d	16.295	0.6477	0.1132	41.79	9.7		1991	9	n	HIP1997d	wds19083+2522r.png
190820.2	551950	19083+5520	D    19AB	12104	179142	94000	7.67		9.51		2858	y		2.95	a		100		190		1903	y		0.73		162		2000	2009	5		Hrt2013c	wds19083+5520a.png
190853.94	340344.1	19089+3404	"COU1462Aa,Ab"			94056	10.22		10.36		23.17	y		0.315	a		83.8		38.4		1993.93	y		0.692		273.3		2000	2009	3	n	Doc2013g	wds19089+3404c.png
190904.35	343559.9	19091+3436	"CHR  84Aa,Ab"	12101	178911	94076	6.89		8.96		1296.984	d	0.355	0.074	a	0.002	147.29	0.99	276.91	1.45	50574.953	m	1.302	0.597	0.003	83.88	0.87	2000	2012	1	n	CIA2014a	wds19091+3436g.png
190948.13	-194812.4	19098-1948	B   427	12096	178555	94144	7		7.1		2.68	y		0.129	a		45.6		45		1931.81	y		0.53		86.1				5	n	Vor1934	wds19098-1948a.png
191026.26	-581326.8	19105-5813	B  2468		178025	94181	10.14		11.85		182.29	y		0.655	a		140		168.5		2013.45	y		0.891		5		2000	2014	5		Tok2015c	wds19105-5813o.png
191036.61	542835.1	19106+5429	A  1391	12144	234826	94194	9.17		10.05		138.12	y	11	0.238	a	0.032	44.9	3.8	64.4	6.4	1981.135	y	0.87	0.401	0.033	177.4	4.4	2000	2007	3	n	Pru2014	wds19106+5429i.png
191101.26	-72538.7	19110-0726	A    95	12126	179002	94241	7.4		7.95		109	y		0.239	a		129		114.5		1944.1	y		0.64		251		2000		3	n	Hei1996c	wds19110-0726a.png
191108.07	384649.3	19111+3847	SE    2BC	12145	179484	94252	8.31		9.4		62.79	y		0.379	a		113.4		271.5		1956.62	y		0.496		4.6		2000	2001	2	n	USN2006a	wds19111+3847a.png
191205.03	495120.7	19121+4951	STF2486AB	12169	179958	94336	6.54		6.67		3100	y		12.75	a		119.06		255.22		2520	y		0.5		186.09		2000	1991	4	n	Hle1994	wds19121+4951a.png
191211.15	-832900.2	19122-8329	CD-83  238		174930	94347	7.27				636	d	16	12.8	m	1.4	145	10	34	83	48724	d	66	0.3	0.15	68	36		1991	9		Gln2007	wds19122-8329t.png
191213.55	25315.6	19121+0254	AST   1			94349	11.29		13.11		2.4664	y		0.14795	a		131.5		178.8		1995.8646	y		0.4532		26.5			1997	2	n	AST1999	wds19121+0254a.png
191225.18	-330343.4	19124-3304	OL   22		179058	94367	8.36		9.51		125.83	y		0.392	a		37.7		209.2		1971.38	y		0.548		49.6		2000	2010	3	n	Hrt2014b	wds19124-3304i.png
191227.46	165102.2	19126+1651	BD+16 3774	12160	179558	94371	7.94				2561	d		33.9	m	3.8	135.5	5.4	126.9	6.1	41044.5	d		0.19		103			1992	9		Jnc2005	wds19125+1651r.png
191234.45	165047.2	19126+1651	BU  139AB	12160	179588	94377	7.11		7.95		587	y		0.552	a		95.4		136.4		2128.7	y		0.533		133.8		2000	2009	4		Zir2013a	wds19126+1651f.png
191415.66	190350.3	19143+1904	STF2484	12201	180054	94520	7.93		9.51		2316	y		2.841	a		58.7		6.3		730.5	y		0.33		58.3				5	n	Hop1973b	wds19143+1904a.png
